date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2024-04-12,3,0.6656200951859894,0.0,0.33437990481401064,0.33635423597501657,2024-04-02,,0.2666666666666666,-0.0010465714806772164
2024-04-15,3,0.662896200814899,0.0,0.337103799185101,0.338679631426155,2024-04-02,,0.2666666666666666,-0.003770465851767657
2024-04-16,3,0.6636443308261086,0.0,0.33635566917389126,0.33635566917389126,2024-04-02,,0.2666666666666666,-0.003022335840557999
2024-04-17,3,0.668307403306996,0.0,0.33169259669300394,0.3396367006695742,2024-04-02,,0.2666666666666666,0.0016407366403293766
2024-04-18,3,0.6614695974877853,0.0,0.3385304025122146,0.3385304025122146,2024-04-02,,0.2666666666666666,-0.005197069178881297
2024-04-19,3,0.6628602185622737,0.0,0.3371397814377262,0.3371397814377262,2024-04-02,,0.2666666666666666,-0.003806448104392901
2024-04-22,3,0.6752555051397698,0.0,0.3247444948602301,0.342423584321087,2024-04-02,,0.2666666666666666,0.00858883847310321
2024-04-23,3,0.6666573309847785,0.0,0.3333426690152215,0.33879874428950935,2024-04-02,,0.2666666666666666,-9.335681888100744e-06
2024-04-24,3,0.6584989124730234,0.0,0.34150108752697655,0.34150108752697655,2024-04-02,,0.2666666666666666,-0.00816775419364324
2024-04-25,3,0.6590449025827554,0.0,0.3409550974172446,0.3409550974172446,2024-04-02,,0.2666666666666666,-0.007621764083911242
2024-04-26,3,0.6631921009233213,0.0,0.3368078990766787,0.3408866959746955,2024-04-02,,0.2666666666666666,-0.0034745657433453703
2024-04-29,3,0.6621238380324294,0.0,0.33787616196757053,0.3385603346957672,2024-04-02,,0.2666666666666666,-0.004542828634237273
2024-04-30,3,0.6656029406959916,0.0,0.3343970593040085,0.3369977258831963,2024-04-02,,0.2666666666666666,-0.0010637259706750557
2024-05-02,3,0.6692356590127565,0.0,0.33076434098724355,0.3371839557076502,2024-04-02,,0.2666666666666666,0.002568992346089871
2024-05-03,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2024-05-03,cap,0.2666666666666666,0.0
2024-05-07,3,0.665032441139493,0.0,0.33496755886050694,0.33496755886050694,2024-05-03,,0.2666666666666666,-0.0016342255271736272
2024-05-08,3,0.6570882125108094,0.0,0.3429117874891907,0.3429117874891907,2024-05-03,,0.2666666666666666,-0.00957845415585723
2024-05-09,3,0.6518911431715566,0.0,0.34810885682844334,0.34810885682844334,2024-05-03,,0.2666666666666666,-0.014775523495110021
2024-05-10,3,0.6580707309579833,0.0,0.3419292690420167,0.3419292690420167,2024-05-03,,0.2666666666666666,-0.008595935708683333
2024-05-13,3,0.6584321397912444,0.0,0.3415678602087557,0.3415678602087557,2024-05-03,,0.2666666666666666,-0.008234526875422254
2024-05-14,3,0.6558709037678601,0.0,0.3441290962321399,0.3441290962321399,2024-05-03,,0.2666666666666666,-0.010795762898806571
2024-05-16,3,0.6568774644727076,0.0,0.3431225355272924,0.3449356127937426,2024-05-03,,0.2666666666666666,-0.009789202193959068
2024-05-17,3,0.6605189540833265,0.0,0.33948104591667344,0.3458742627340593,2024-05-03,,0.2666666666666666,-0.006147712583340126
2024-05-20,3,0.6604692432068169,0.0,0.3395307567931831,0.34285820027450203,2024-05-03,,0.2666666666666666,-0.006197423459849749
2024-05-21,3,0.6626978413874651,0.0,0.337302158612535,0.34671114339169345,2024-05-03,,0.2666666666666666,-0.003968825279201504
2024-05-22,3,0.6541089762412053,0.0,0.3458910237587947,0.348448563818666,2024-05-03,,0.2666666666666666,-0.012557690425461288
2024-05-23,3,0.6576945171828288,0.0,0.34230548281717127,0.3509928252362494,2024-05-03,,0.2666666666666666,-0.008972149483837843
2024-05-24,3,0.6515825146809298,0.0,0.3484174853190702,0.3516366673898841,2024-05-03,,0.2666666666666666,-0.015084151985736871
2024-05-27,3,0.6483130411660954,0.0,0.35168695883390455,0.35168695883390455,2024-05-03,,0.2666666666666666,-0.01835362550057118
2024-05-28,3,0.6337012115849213,0.0,0.36629878841507874,0.36629878841507874,2024-05-03,,0.2666666666666666,-0.03296545508174531
2024-05-29,3,0.6216215113932239,0.0,0.3783784886067759,0.3783784886067759,2024-05-03,,0.2666666666666666,-0.04504515527344277
2024-05-30,3,0.6202788410847713,0.0,0.3797211589152286,0.3797211589152286,2024-05-03,,0.2666666666666666,-0.04638782558189536
2024-05-31,3,0.6211701294376251,0.0,0.3788298705623748,0.3788298705623748,2024-05-03,,0.2666666666666666,-0.04549653722904157
